Kategori;Merek;Tahun;Mesin;Tenaga (BHP);Torsi (lb⋅ft);Berat (lbs);Source URL,,
Drift Cars;DeBerti;2010s;6.0L to 6.9L Displacement, V8;900 to 999 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/DeBerti_Toyota_Tacoma_TRD_%22The_Performance_Truck%22,
Drift Cars;Hoonigan;1960s;6.0L to 6.9L Displacement, Twin-Turbocharged, V8;1400 to 1499 bhp;1200 to 1299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Hoonigan_Ford_%22Hoonicorn%22_Mustang
Drift Cars;Formula;2010s;2.0L to 2.9L Displacement, Turbocharged;1100 to 1199 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_411_Toyota_Corolla_Hatchback,
Drift Cars;Ford;2010s;7.0L to 7.9L Displacement, V8;1000 to 1099 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_Mustang_RTR_(2018),
Drift Cars;Formula;1990s;3.0L to 3.9L Displacement, Turbocharged;1000 to 1099 bhp;900 to 999 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Formula_Drift_34_Toyota_Supra_MkIV,
Drift Cars;Formula;2000s;6.0L to 6.9L Displacement;900 to 999 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Formula_Drift_117_599_GTB_Fiorano,,
Drift Cars;DeBerti;2010s;7.0L to 7.9L Displacement, V8;1000 to 1099 bhp;900 to 999 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/DeBerti_Chevrolet_Silverado_1500_Drift_Truck,
Drift Cars;Hoonigan;1990s;5.0L to 5.9L Displacement, Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Hoonigan_Mazda_RX-7_Twerkstallion
Extreme Track Toys;Lexus;2020s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lexus_14_VASSER_SULLIVAN_RC_F_GT3,
Extreme Track Toys;Radical;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;500 to 599 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Radical_RXC_Turbo,
Extreme Track Toys;Ferrari;2000s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_FXX,,
Extreme Track Toys;Ferrari;2010s;6.0L to 6.9L Displacement;1000 to 1099 bhp;600 to 699 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_FXX-K_Evo,,
Extreme Track Toys;Porsche;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_70_Porsche_Motorsport_935,
Extreme Track Toys;Lamborghini;1990s;6.0L to 6.9L Displacement;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Diablo_GTR,,
Extreme Track Toys;Porsche;2020s;4.0L to 4.9L Displacement;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_911_GT3_R,,
Extreme Track Toys;Ferrari;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_62_Risi_Competizione_488_GTE
Extreme Track Toys;Aston;2010s;7.0L to 7.9L Displacement;800 to 899 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Aston_Martin_Vulcan_AMR_Pro,,
Extreme Track Toys;KTM;2020s;2.0L to 2.9L Displacement, Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/KTM_X-Bow_GT2,
Extreme Track Toys;Pagani;2000s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Pagani_Zonda_R,,
Extreme Track Toys;Brabham;2010s;5.0L to 5.9L Displacement, V8;700 to 799 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Brabham_BT62,
Extreme Track Toys;Apollo;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Apollo_Intensa_Emozione,,
Extreme Track Toys;Bugatti;2010s;8.0L to 8.9L Displacement, Quad-Turbocharged;1400 to 1499 bhp;1100 to 1199 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Bugatti_Divo,
Extreme Track Toys;SIERRA;2020s;1.0L to 1.9L Displacement, Turbocharged;600 to 699 bhp;200 to 299 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/SIERRA_Cars_23_Yokohama_Alpha,
Extreme Track Toys;Mosler;2010s;7.0L to 7.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Mosler_MT900S,
Extreme Track Toys;Ford;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_66_Ford_Racing_GT_Le_Mans,
Extreme Track Toys;Koenigsegg;2000s;5.0L to 5.9L Displacement, V8;600 to 699 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Koenigsegg_CCGT,
Extreme Track Toys;Lamborghini;2010s;5.0L to 5.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Lamborghini_Sesto_Elemento,,
Extreme Track Toys;BMW;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;500 to 599 bhp;500 to 599 lb⋅ft;5000 to 5499 lbs;https://forza.fandom.com/wiki/BMW_X5_M
Extreme Track Toys;Ariel;2010s;3.0L to 3.9L Displacement, V8;400 to 499 bhp;200 to 299 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Ariel_Atom_500_V8,
Extreme Track Toys;Pagani;2020s;6.0L to 6.9L Displacement;800 to 899 bhp;500 to 599 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Pagani_Huayra_R,,
Extreme Track Toys;Ultima;2010s;6.0L to 6.9L Displacement, V8;1000 to 1099 bhp;900 to 999 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ultima_Evolution_Coupe_1020,
Extreme Track Toys;Porsche;2010s;4.0L to 4.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_92_Porsche_GT_Team_911_RSR,,
Extreme Track Toys;Ferrari;1980s;2.0L to 2.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ferrari_F40_Competizione
Extreme Track Toys;Czinger;2020s;2.0L to 2.9L Displacement, Twin-Turbocharged, V8;1200 to 1299 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Czinger_21C
Extreme Track Toys;Aston;2020s;6.0L to 6.9L Displacement;800 to 899 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Aston_Martin_Valkyrie_AMR_Pro,,
Extreme Track Toys;Ferrari;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_599XX_Evolution,,
Extreme Track Toys;Porsche;2020s;N/A;600 to 699 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_Mission_R,,
Extreme Track Toys;Mitsubishi;2000s;2.0L to 2.9L Displacement, Turbocharged;900 to 999 bhp;700 to 799 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mitsubishi_1_Sierra_Sierra_Enterprises_Lancer_Evolution_Time_Attack,
Extreme Track Toys;Pagani;2010s;6.0L to 6.9L Displacement, Twin-Turbocharged;700 to 799 bhp;700 to 799 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Pagani_Huayra_BC_Coupe,
Extreme Track Toys;BMW;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/BMW_1_BMW_M_Motorsport_M8_GTE
Extreme Track Toys;Lamborghini;2010s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lamborghini_63_Squadra_Corse_Hurac%C3%A1n_Super_Trofeo_Evo,,
Extreme Track Toys;Mercedes-AMG;2010s;6.0L to 6.9L Displacement, V8;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mercedes-AMG_GT3,
Extreme Track Toys;Chevrolet;2020s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Chevrolet_3_Corvette_Racing_C8.R,
Extreme Track Toys;Mercedes-Benz;1990s;6.0L to 6.9L Displacement;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_AMG_CLK_GTR,,
Extreme Track Toys;KTM;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/KTM_X-Bow_GT4,
Extreme Track Toys;Saleen;2010s;7.0L to 7.9L Displacement, Twin-Turbocharged, V8;1000 to 1099 bhp;800 to 899 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Saleen_S7_LM
Extreme Track Toys;Ferrari;1990s;4.0L to 4.9L Displacement;700 to 799 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ferrari_F50_GT,,
Extreme Track Toys;Lamborghini;2020s;6.0L to 6.9L Displacement;800 to 899 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Essenza_SCV12,,
Extreme Track Toys;Cadillac;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Cadillac_3_Cadillac_Racing_ATS-V.R,
Extreme Track Toys;Porsche;2010s;4.0L to 4.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_73_Park_Place_Motorsports_911_GT3_R,,
Extreme Track Toys;Ferrari;2010s;6.0L to 6.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_599XX,,
Extreme Track Toys;Ford;2020s;N/A;1600 bhp and more;1100 to 1199 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Ford_Supervan_4,,
Extreme Track Toys;Maserati;2000s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Maserati_MC12_Versione_Corsa,,
Extreme Track Toys;Mosler;2000s;7.0L to 7.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mosler_MT900_GT3,
Extreme Track Toys;Hot;2010s;3.0L to 3.9L Displacement;600 to 699 bhp;300 to 399 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Hot_Wheels_Bad_to_the_Blade,,
Extreme Track Toys;Ferrari;2010s;6.0L to 6.9L Displacement;1000 to 1099 bhp;600 to 699 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_FXX_K,,
GT Cars;BMW;2020s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/BMW_M8_Competition_Coupe
GT Cars;Jaguar;2010s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Jaguar_F-TYPE_R_Coup%C3%A9,
GT Cars;Aston;2000s;5.0L to 5.9L Displacement;500 to 599 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Aston_Martin_DBS_(2008),,
GT Cars;Jaguar;2010s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Jaguar_XKR-S_(2012),
GT Cars;MG;2020s;N/A;500 to 599 bhp;600 to 699 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/MG_Cyberster,,
GT Cars;Alfa;2000s;4.0L to 4.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Alfa_Romeo_8C_Competizione,
GT Cars;Maserati;2010s;4.0L to 4.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Maserati_Gran_Turismo_S,
GT Cars;Aston;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;500 to 599 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Aston_Martin_Vantage
GT Cars;Bentley;2010s;6.0L to 6.9L Displacement, Twin-Turbocharged;700 to 799 bhp;700 to 799 lb⋅ft;5000 to 5499 lbs;https://forza.fandom.com/wiki/Bentley_Continental_Supersports_(2017),
GT Cars;BMW;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;500 to 599 bhp;500 to 599 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/BMW_M6_Coupe_(2013)
GT Cars;Jaguar;2020s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Jaguar_F-TYPE_SVR,
GT Cars;Italdesign;2010s;N/A;700 to 799 bhp;700 to 799 lb⋅ft;5000 to 5499 lbs;https://forza.fandom.com/wiki/Italdesign_DaVinci_Concept,,
GT Cars;Lexus;2020s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Lexus_LC_500,
GT Cars;Bentley;2020s;6.0L to 6.9L Displacement, Twin-Turbocharged;600 to 699 bhp;600 to 699 lb⋅ft;5000 to 5499 lbs;https://forza.fandom.com/wiki/Bentley_Continental_GT_Convertible,
Hot Hatch;Lynk;2020s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lynk_%26_Co_02_Hatchback,
Hot Hatch;Volkswagen;2020s;N/A;200 to 299 bhp;200 to 299 lb⋅ft;4500 to 4999 lbs;https://forza.fandom.com/wiki/Volkswagen_ID.4,,
Hot Hatch;MG;2010s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/MG_MG3,,
Hot Hatch;Volkswagen;2010s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Volkswagen_Scirocco_R,
Hot Hatch;MINI;2010s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/MINI_John_Cooper_Works_GP_(2012),
Hot Hatch;Ford;2020s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Fiesta_ST_(2023),
Hot Hatch;Ford;2010s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Fiesta_ST_(2014),
Hot Hatch;Renault;2010s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Renault_Clio_R.S._200_EDC,
Hot Hatch;Honda;2000s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_Civic_Type_R_(2007),,
Hot Hatch;Vauxhall;2010s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Vauxhall_Corsa_VXR_(2016),
Hot Hatch;Renault;2010s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Renault_Clio_R.S.,,
Hot Hatch;Volkswagen;2000s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Volkswagen_Golf_R32,,
Hot Hatch;Volvo;2010s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Volvo_C30_Polestar,
Hot Hatch;Audi;2010s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Audi_S1,
Hot Hatch;Abarth;2010s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Abarth_695_Biposto,
Hot Hatch;MINI;2000s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/MINI_John_Cooper_Works,
Hot Hatch;Ford;2000s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Focus_RS_(2003),
Hot Hatch;Wuling;2020s;N/A;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Wuling_Hongguang_Mini_EV_Macaron,,
Hypercars;Aston;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;1000 to 1099 bhp;900 to 999 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Aston_Martin_Valhalla_Concept_Car,
Hypercars;Pagani;2010s;7.0L to 7.9L Displacement;600 to 699 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Pagani_Zonda_Cinque_Roadster,,
Hypercars;Bugatti;2010s;8.0L to 8.9L Displacement, Quad-Turbocharged;1100 to 1199 bhp;1100 to 1199 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Bugatti_Veyron_Super_Sport,
Hypercars;Bugatti;2010s;8.0L to 8.9L Displacement, Quad-Turbocharged;1400 to 1499 bhp;1100 to 1199 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Bugatti_Chiron,
Hypercars;Lamborghini;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Veneno,,
Hypercars;Zenvo;2010s;6.0L to 6.9L Displacement, Turbocharged, V8;1000 to 1099 bhp;1000 to 1099 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Zenvo_ST1
Hypercars;Lamborghini;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Aventador_LP700-4,,
Hypercars;McLaren;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/McLaren_Senna
Hypercars;McLaren;2020s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;800 to 899 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_Sabre
Hypercars;Ferrari;2010s;6.0L to 6.9L Displacement;900 to 999 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_LaFerrari,,
Hypercars;Rimac;2010s;N/A;1600 bhp and more;1500 lb⋅ft and more;4000 to 4499 lbs;https://forza.fandom.com/wiki/Rimac_Concept_Two,,
Hypercars;Koenigsegg;2010s;5.0L to 5.9L Displacement, Twin-Turbocharged, V8;1300 to 1399 bhp;1000 to 1099 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Koenigsegg_One:1
Hypercars;NIO;2010s;N/A;1300 to 1399 bhp;1000 to 1099 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/NIO_EP9,,
Hypercars;Lamborghini;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Centenario_LP_770-4,,
Hypercars;McLaren;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;900 to 999 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_P1
Hypercars;Lamborghini;2020s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Aventador_LP_780-4_Ultimae,,
Hypercars;Lotus;2020s;N/A;1600 bhp and more;1200 to 1299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lotus_Evija,,
Hypercars;Koenigsegg;2000s;4.0L to 4.9L Displacement, V8;800 to 899 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Koenigsegg_CCX,
Hypercars;Hennessey;2020s;6.0L to 6.9L Displacement, Twin-Turbocharged, V8;1600 bhp and more;1100 to 1199 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Hennessey_Venom_F5
Hypercars;Lamborghini;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Aventador_SVJ,,
Hypercars;RAESR;2010s;N/A;1200 to 1299 bhp;1500 lb⋅ft and more;3000 to 3499 lbs;https://forza.fandom.com/wiki/RAESR_Tachyon_Speed,,
Hypercars;Zenvo;2010s;5.0L to 5.9L Displacement, V8;1100 to 1199 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Zenvo_TSR-S,
Hypercars;Automobili;2020s;N/A;1600 bhp and more;1500 lb⋅ft and more;4000 to 4499 lbs;https://forza.fandom.com/wiki/Automobili_Pininfarina_Battista,,
Hypercars;Lamborghini;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Aventador_Superveloce,,
Hypercars;Koenigsegg;2010s;5.0L to 5.9L Displacement, Twin-Turbocharged, V8;1300 to 1399 bhp;1000 to 1099 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Koenigsegg_Agera_RS
Hypercars;Ferrari;2020s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;900 to 999 bhp;900 to 999 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ferrari_SF90_Stradale
Hypercars;Mercedes-AMG;2020s;1.0L to 1.9L Displacement, Turbocharged;800 to 899 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mercedes-AMG_Mercedes-AMG_ONE,
Hypercars;Koenigsegg;2010s;5.0L to 5.9L Displacement, Twin-Turbocharged, V8;1600 bhp and more;1500 lb⋅ft and more;3500 to 3999 lbs;https://forza.fandom.com/wiki/Koenigsegg_Regera
Hypercars;Hennessey;2010s;6.0L to 6.9L Displacement, Twin-Turbocharged, V8;1200 to 1299 bhp;1100 to 1199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Hennessey_Venom_GT
Hypercars;Pagani;2010s;6.0L to 6.9L Displacement, Twin-Turbocharged;700 to 799 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Pagani_Huayra_Coupe,
Hypercars;Porsche;2010s;4.0L to 4.9L Displacement, V8;800 to 899 bhp;800 to 899 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Porsche_918_Spyder,
Hypercars;Koenigsegg;2000s;4.0L to 4.9L Displacement, V8;500 to 599 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Koenigsegg_CC8S,
Hypercars;Lamborghini;2020s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_SC20,,
Hypercars;Lamborghini;2020s;6.0L to 6.9L Displacement;1000 to 1099 bhp;700 to 799 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Lamborghini_Revuelto,,
Hypercars;Koenigsegg;2010s;5.0L to 5.9L Displacement, Twin-Turbocharged, V8;900 to 999 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Koenigsegg_Agera
Hypercars;W;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;700 to 799 bhp;700 to 799 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/W_Motors_Lykan_HyperSport,
Hypercars;Lamborghini;2020s;6.0L to 6.9L Displacement;800 to 899 bhp;500 to 599 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Lamborghini_Countach_LPI_800-4,,
Hypercars;Lamborghini;2010s;6.0L to 6.9L Displacement;700 to 799 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Aventador_J,,
Hypercars;Italdesign;2010s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Italdesign_Zerouno,,
Hypercars;McLaren;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;1000 to 1099 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_Speedtail
Hypercars;Rimac;2020s;N/A;1600 bhp and more;1500 lb⋅ft and more;4500 to 4999 lbs;https://forza.fandom.com/wiki/Rimac_Nevera,,
Hypercars;Aston;2020s;6.0L to 6.9L Displacement;1100 to 1199 bhp;600 to 699 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Aston_Martin_Valkyrie,,
Hypercars;Lamborghini;2020s;6.0L to 6.9L Displacement;800 to 899 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Si%C3%A1n_Roadster,,
Hypercars;Koenigsegg;2020s;5.0L to 5.9L Displacement, Twin-Turbocharged, V8;1200 to 1299 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Koenigsegg_Jesko
